,_cumulative_episode,_episode,_season,Michael,Jim,Pam,Dwight,Jan,Stanley,Oscar,Angela,Kevin,Ryan,Roy,Toby,Kelly,Meredith,Darryl,Creed,Andy,Holly,Pete,Erin,Gabe,Clark,Robert,Nellie
103,103.0,13.0,6.0,95.0,39.0,16.0,37.0,0.0,5.0,13.0,6.0,13.0,8.0,0.0,6.0,3.0,3.0,0.0,2.0,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
104,104.0,14.0,6.0,44.0,0.0,5.0,17.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105.0,15.0,6.0,82.0,26.0,25.0,9.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0
106,106.0,16.0,6.0,68.0,33.0,5.0,39.0,0.0,0.0,6.0,1.0,5.0,19.0,0.0,0.0,11.0,4.0,0.0,0.0,24.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0
107,107.0,17.0,6.0,72.0,66.0,66.0,34.0,0.0,2.0,2.0,14.0,9.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
108,108.0,18.0,6.0,46.0,68.0,60.0,13.0,0.0,1.0,1.0,5.0,20.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,17.0,0.0,0.0,28.0,0.0,13.0,0.0,0.0
109,109.0,19.0,6.0,51.0,40.0,1.0,29.0,0.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,24.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0
110,110.0,20.0,6.0,85.0,51.0,3.0,43.0,0.0,11.0,1.0,6.0,8.0,3.0,0.0,2.0,8.0,3.0,9.0,0.0,15.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
111,111.0,21.0,6.0,74.0,33.0,31.0,34.0,0.0,1.0,20.0,17.0,7.0,5.0,0.0,0.0,4.0,1.0,10.0,1.0,35.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
112,112.0,22.0,6.0,46.0,8.0,28.0,17.0,0.0,0.0,6.0,5.0,20.0,5.0,0.0,3.0,5.0,9.0,3.0,0.0,25.0,0.0,0.0,52.0,23.0,0.0,0.0,0.0
113,113.0,23.0,6.0,86.0,37.0,27.0,45.0,0.0,2.0,9.0,3.0,8.0,4.0,0.0,0.0,28.0,0.0,4.0,1.0,3.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0
114,114.0,24.0,6.0,92.0,14.0,42.0,38.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,7.0,1.0,26.0,2.0,30.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
115,115.0,25.0,6.0,82.0,21.0,30.0,36.0,0.0,2.0,3.0,17.0,6.0,11.0,0.0,5.0,5.0,3.0,4.0,4.0,41.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0
116,116.0,26.0,6.0,67.0,13.0,17.0,19.0,0.0,2.0,2.0,4.0,7.0,2.0,0.0,7.0,5.0,0.0,6.0,2.0,17.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
117,117.0,1.0,7.0,58.0,22.0,25.0,21.0,0.0,5.0,8.0,3.0,5.0,3.0,0.0,3.0,5.0,3.0,5.0,4.0,16.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0
118,118.0,2.0,7.0,31.0,34.0,39.0,48.0,0.0,3.0,7.0,4.0,0.0,3.0,0.0,35.0,6.0,0.0,4.0,1.0,13.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0
119,119.0,3.0,7.0,43.0,19.0,17.0,17.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,2.0,49.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
